ADW, MD
ATW, WI
BFF, NE
BGM, NY
BHM, AL
BMG, IN
BWI, MD
CAE, SC
CID, IA
CLE, OH
CMH, OH
CMI, IL
CMX, MI
COS, CO
COU, MO
CVG, KY
CWA, WI
DCA, VA
DEC, IL
DEN, CO
DET, MI
DFW, TX
DLH, MN
DSM, IA
DTW, MI
EAU, WI
EKO, NV
ELM, NY
ERI, PA
FSD, SD
GJT, CO
GRB, WI
GRK, TX
GRR, MI
GSP, SC
HIB, MN
HPN, NY
IAD, VA
IAH, TX
IFP, AZ
ILN, OH
IND, IN
INL, MN
INT, NC
JFK, NY
LAF, IN
LAN, MI
LAS, NV
LAX, CA
LNK, NE
MBS, MI
MCI, MO
MCO, FL
MDT, PA
MDW, IL
MEM, TN
MHT, NH
MIA, FL
MIE, IN
MIO, OK
MLI, IL
MSN, WI
MSP, MN
OKC, OK
OMA, NE
ORD, IL
ORF, VA
PHL, PA
PIE, FL
PIT, PA
RDU, NC
RNO, NV
RST, MN
SAT, TX
SBN, IN
SCE, PA
SDF, KY
SFB, FL
SGF, MO
STL, MO
TOL, OH
TPA, FL
TUL, OK
TYS, TN
UXT, OH
XNA, AR
YIP, MI
