ATL, GA
ATW, WI
AZA, AZ
BFI, WA
BMG, IN
BNA, TN
BOI, ID
BOS, MA
BWI, MD
CAE, SC
CID, IA
CLT, NC
CMH, OH
CMI, IL
CVG, KY
DEN, CO
DFW, TX
DSM, IA
DTW, MI
EWR, NJ
FAR, ND
FOE, KS
FSD, SD
FTW, TX
GJT, CO
HPN, NY
IAD, VA
IFP, AZ
IND, IN
LAF, IN
LAN, MI
LAS, NV
LAX, CA
LIT, AR
LNK, NE
MCI, MO
MEM, TN
MOT, ND
MSN, WI
MSP, MN
MSY, LA
OAK, CA
OMA, NE
ONT, CA
ORD, IL
PDX, OR
PGD, FL
PHL, PA
PHX, AZ
PIE, FL
RDU, NC
RFD, IL
RNO, NV
RST, MN
SAN, CA
SBD, CA
SBN, IN
SCE, PA
SDF, KY
SFB, FL
SGF, MO
TVC, MI
YIP, MI
